sample-id,Acidovorax,Acinetobacter,Actinobacillus,Adlercreutzia,Aerococcus,Aeromonas,Afipia,Agrobacterium,Alishewanella,Allobaculum,Alloiococcus,Anaerococcus,Anaerostipes,Anoxybacillus,Aquabacterium,Arthrobacter,Bacillus,Bacteroides,Beijerinckia,Bifidobacterium,Bilophila,Bordetella,Bradyrhizobium,Brevibacillus,Brevibacterium,Brevundimonas,Brochothrix,Caulobacter,Cellulomonas,Citricoccus,Cloacibacterium,Clostridium,Coprococcus,Corynebacterium,Deinococcus,Delftia,Dermabacter,Desulfovibrio,Devosia,Dietzia,Enhydrobacter,Enterobacter,Enterococcus,Erwinia,Exiguobacterium,Fimbriimonas,Finegoldia,Fusobacterium,Gardnerella,Gemella,Gluconobacter,Gordonia,Haemophilus,Halomonas,Herbaspirillum,Hymenobacter,Jeotgalicoccus,Kingella,Klebsiella,Kocuria,Kytococcus,Lactobacillus,Lactococcus,Leptotrichia,Leuconostoc,Luteibacter,Macrococcus,Marmoricola,Massilia,Microbacterium,Micrococcus,Mobiluncus,Mucispirillum,Mycobacterium,Mycoplana,N09,Nesterenkonia,Nocardioides,Odoribacter,Oscillospira,Pandoraea,Pantoea,Parabacteroides,Paracoccus,Pedomicrobium,Peptoniphilus,Petrobacter,Porphyromonas,Prevotella,Propionibacterium,Propionicimonas,Pseudomonas,Pseudonocardia,Psychrobacter,Psychromonas,Rathayibacter,Rhodococcus,Rothia,Ruminococcus,Schlegelella,Sediminibacterium,Solirubrobacter,Sphingopyxis,Staphylococcus,Stenotrophomonas,Streptococcus,Streptomyces,Sutterella,Thermicanus,Turicibacter,Veillonella,Weissella,Yaniella,Zoogloea,Eubacterium
LK16S009-373,0,0.000192335,0.99974756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01048E-05,0,0,0,0,0,0,0,0,0
LK16S009-374,0,0.145522388,0.22761194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007462687,0,0,0,0,0,0,0.276119403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343283582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-375,0,0.021943574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006269592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078369906,0,0,0.269592476,0,0,0,0,0,0,0,0,0.26645768,0,0,0,0,0.357366771,0,0,0,0,0,0,0,0,0
LK16S009-376,0,0.322327044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007468553,0,0,0,0.012578616,0,0,0,0,0,0.017688679,0.077044025,0,0,0,0,0.079402516,0,0,0,0,0,0,0,0,0.007468553,0,0,0,0,0,0,0,0,0,0,0.003144654,0,0,0,0,0,0,0,0.022798742,0,0,0,0,0,0.014150943,0,0,0.09591195,0,0,0,0,0,0,0,0.009433962,0.005896226,0,0.003537736,0.002358491,0,0.007861635,0,0,0,0.003930818,0.073113208,0,0.066823899,0,0,0,0,0,0,0.008647799,0,0.012971698,0,0,0.139544025,0,0.005896226,0,0,0,0,0,0,0,0,0
LK16S009-377,0,0.098108747,0.093144208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002364066,0,0.030732861,0.00070922,0,0,0,0,0,0,0,0,0,0.024113475,0,0,0.139952719,0,0,0,0,0,0,0,0,0.142789598,0,0,0,0,0,0,0,0,0,0.009692671,0,0,0,0,0.004964539,0,0,0,0.005200946,0,0,0.004728132,0,0,0,0,0,0,0,0.000472813,0,0,0.024586288,0,0,0.003782506,0.00141844,0.038061466,0,0,0,0,0,0,0,0,0.01749409,0,0.127659574,0,0,0,0,0.002600473,0,0,0,0,0,0,0.064775414,0.026713948,0.087470449,0.014893617,0,0,0,0.019148936,0.008747045,0.005673759,0,0
LK16S009-378,0,0.235489834,0.005545287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043992606,0,0,0,0,0,0,0.010351201,0.022550832,0,0,0,0,0,0,0,0.025878004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00702403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122365989,0,0.169316081,0.005175601,0,0,0,0,0,0,0,0.036968577,0,0,0,0,0.173752311,0.077264325,0,0,0,0.064325323,0,0,0,0
LK16S009-379,0.034538296,0.180386543,0,0.001610594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003937008,0,0,0.035612026,0,0,0,0,0.032211883,0,0,0,0,0.019685039,0,0,0,0,0,0,0,0,0,0,0,0.002147459,0,0,0,0,0.003400143,0,0,0,0,0,0,0,0,0,0.015390122,0.023622047,0,0,0,0,0,0,0,0.047602004,0.123836793,0,0,0,0,0,0,0,0,0.002863278,0.046886185,0.028274875,0.115604868,0,0,0,0,0,0,0.079634932,0,0.016642806,0,0.001610594,0.09198282,0,0.040085898,0.052433787,0,0,0,0,0,0,0,0
LK16S009-380,0,0.408894136,0,0,0,0,0,0,0.003935458,0,0,0.007477371,0,0,0,0,0,0,0,0.027941755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030696576,0,0.024006297,0,0,0,0,0,0,0,0.008658009,0,0,0,0,0,0,0,0.059031877,0,0,0,0,0.010625738,0,0,0,0,0.030696576,0,0,0,0,0,0,0,0,0,0.025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102321921,0,0.071625344,0,0,0,0,0,0,0,0,0,0,0,0.087367178,0,0.069657615,0.031090122,0,0,0,0,0,0,0,0
LK16S009-381,0,0.461663948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006525285,0,0,0,0.016313214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017944535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089722675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342577488,0,0,0,0,0,0,0,0,0,0,0,0,0.065252855,0,0,0,0,0,0,0,0,0,0
LK16S009-382,0,0,0.575625182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424374818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-383,0,0.152246256,0,0,0,0,0.073211314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116472546,0,0,0,0.003327787,0,0,0,0,0,0,0,0,0,0.235440932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044093178,0,0,0,0.083194676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029950083,0,0,0.122296173,0,0,0.073211314,0,0.036605657,0,0,0,0,0,0,0,0.029950083,0,0,0,0,0,0,0,0,0,0
LK16S009-384,0,0.018726592,0,0,0,0,0.277153558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116104869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406367041,0,0,0,0,0,0,0.031835206,0,0,0,0,0,0,0,0.149812734,0,0,0,0,0,0,0,0
LK16S009-385,0,0.110064011,0.194523471,0,0,0,0,0,0,0,0.002489331,0,0,0.050497866,0,0,0,0,0.001955903,0,0,0,0,0.026493599,0,0,0,0.06685633,0,0,0.003556188,0,0,0.131045519,0,0,0,0,0,0,0.007290185,0,0,0,0,0,0,0,0,0,0,0.042496444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040896159,0,0.038762447,0,0,0,0,0,0,0,0,0.030049787,0,0,0.023470839,0.010668563,0.218883357,0,0,0,0,0,0,0,0,0
LK16S009-386,0,0,0.997867325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.98871E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48307E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002007957,0,0,0,0,0,0,0,0,0
LK16S009-387,0,0.139551699,0.00867679,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261749819,0,0,0,0,0,0,0,0,0,0.005784526,0,0,0,0,0,0,0.006507592,0,0,0,0,0,0,0,0,0.355025307,0,0.007230658,0,0,0,0,0,0,0,0,0,0.015907448,0.002892263,0,0,0,0,0,0.015907448,0,0,0,0,0,0,0,0,0.016630513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015184382,0,0.060014461,0,0,0,0,0,0,0,0,0.006507592,0,0,0.030368764,0.005061461,0,0,0,0,0.046999277,0,0,0,0,0
LK16S009-388,0,0.115298088,0.170978628,0.020247469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05568054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137232846,0,0,0,0,0,0,0.085489314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043869516,0,0,0,0,0,0,0.026996625,0,0,0,0,0,0,0,0,0.052868391,0,0,0,0,0,0,0,0.015185602,0.007311586,0,0,0,0,0,0,0,0,0.008436445,0,0,0.163667042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059617548,0,0,0,0.03712036,0,0,0,0,0
LK16S009-389,0,0.264705882,0.257352941,0.011764706,0,0,0,0.061764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060294118,0,0,0,0,0,0,0,0,0,0,0,0.035294118,0,0.172058824,0,0,0,0,0,0,0,0,0.039705882,0,0,0,0,0.047058824,0,0,0,0,0,0,0,0,0
LK16S009-390,0,0.007962672,0.980473703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003499518,0,0,0,0,0,0,0.0017244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000355024,0.000405741,0,0.000760765,0,0.00410813,0,0.000710047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-391,0,0.219758065,0.172043011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0.092741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0.077284946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.079973118,0,0,0,0,0,0,0,0,0.032258065,0.010080645,0,0.057123656,0,0,0,0,0,0.021505376,0.024193548,0,0.002688172,0,0,0.034274194,0,0.012096774,0.059811828,0,0,0,0,0,0,0,0
LK16S009-392,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-393,0,0.127487562,0.103855721,0,0,0,0,0,0,0.040422886,0,0,0,0,0,0,0,0,0,0.059079602,0,0,0,0,0,0,0,0.039179104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109452736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013681592,0,0,0,0,0,0,0,0,0.008706468,0,0,0,0.259950249,0,0,0,0,0,0,0.078358209,0,0.049129353,0,0,0,0,0.110696517,0,0,0,0,0,0,0,0,0
LK16S009-394,0,0.049313052,0.039990186,0,0,0,0,0,0,0,0,0,0,0,0,0.737242395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039499509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008096173,0.014229637,0,0.063542689,0,0,0,0,0,0.015210991,0,0,0,0.005642787,0,0,0,0.027232581,0,0,0,0,0,0,0,0,0
LK16S009-395,0,0.083704363,0.009795191,0.024933215,0,0.015138023,0.189670525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043633126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024933215,0,0,0,0,0,0,0.162956367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00890472,0.02760463,0,0,0,0,0,0,0,0,0,0.024042743,0,0.290293856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056099733,0.038290294,0,0,0,0,0,0,0,0
LK16S009-396,0,0.309133489,0,0,0,0,0.147540984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028103044,0,0,0,0,0,0,0,0.381733021,0,0,0,0.133489461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-397,0,0.044871795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08974359,0,0,0,0,0,0.141025641,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0,0.060897436,0,0,0,0,0,0,0,0,0,0
LK16S009-398,0,0.319652723,0.005524862,0,0.009471192,0,0.120757695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033149171,0,0,0,0,0,0,0,0,0.01183899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005524862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00394633,0.087608524,0,0.097868982,0,0,0,0,0,0,0,0.121546961,0.122336227,0,0,0,0.041041831,0.006314128,0.013417522,0,0,0,0,0,0,0,0
LK16S009-399,0,0.072033898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042902542,0,0.078919492,0,0,0.009004237,0,0,0,0,0,0,0,0,0,0,0.011122881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061970339,0,0,0,0,0,0,0.008474576,0,0,0,0,0,0,0.146716102,0.08845339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007415254,0,0,0,0.003707627,0.057733051,0,0,0.042902542,0,0,0,0,0.016419492,0,0,0,0,0,0,0,0,0.167372881,0,0.085275424,0,0.029131356,0.038665254,0,0,0,0.031779661
LK16S009-400,0,0.085321472,0.189917779,0.007548187,0.003774094,0,0,0,0,0.006469875,0,0,0.005121984,0,0,0,0,0,0,0.029249225,0,0,0,0.022240194,0,0,0,0,0,0,0,0,0.014018062,0,0,0,0,0,0,0,0.013883273,0,0,0,0,0.009570023,0,0,0,0.008761289,0,0,0,0,0.001752258,0,0,0,0,0.023183717,0,0.0812778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015365952,0,0,0,0,0,0,0,0,0.008087343,0.007278609,0,0.053241677,0,0,0,0,0,0,0.011187492,0,0,0,0,0.022644561,0,0.336568271,0,0,0,0.043536865,0,0,0,0,0
LK16S009-401,0,0.116941529,0.055472264,0,0,0,0.135682159,0,0,0,0,0,0,0,0,0,0,0,0,0.088455772,0,0,0,0,0,0,0,0,0,0,0.126686657,0,0,0,0,0,0,0,0,0,0,0,0.011994003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003748126,0.291604198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023988006,0,0,0,0,0,0,0,0,0,0,0,0.053223388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029985007,0,0,0,0.062218891,0
LK16S009-402,0,0.017485119,0.678571429,0,0,0,0.08296131,0,0,0,0,0,0,0.026785714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001488095,0,0,0,0,0,0,0,0.013392857,0,0.032366071,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078497024,0.005952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03608631,0,0,0,0,0,0,0,0,0,0,0,0,0.001488095,0,0,0,0,0,0.004092262,0,0,0,0
LK16S009-403,0,0.000439687,0.997713625,0,0,0,0.000515062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.025E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001218562,0,0,0,6.28125E-05,0,0,0,0,0
LK16S009-404,0,0,0.805862362,0,0,0,0,0,0,0,0,0,0,0,0.005522515,0,0,0,0,0,0,0,0,0,0,0.073916737,0,0,0,0,0,0,0,0.028462192,0,0,0,0,0,0,0.020390824,0,0,0,0,0,0,0,0,0,0,0.012319456,0,0,0.004672897,0,0.022090059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026762957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK16S009-405,0,0.066914498,0.129285419,0,0,0,0.087567121,0,0,0,0,0,0,0,0.02354399,0,0,0,0,0,0,0,0,0,0,0.11937216,0,0,0,0,0,0,0,0.074349442,0.109045849,0,0,0,0,0,0.034283354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102023957,0,0,0,0.049979347,0,0,0,0.016522098,0,0,0,0,0,0,0,0,0,0,0,0.019413466,0,0,0,0,0.103263114,0,0,0,0,0,0,0,0,0,0,0,0,0.018587361,0.033870302,0,0,0.011978521,0,0,0,0,0,0
LK16S009-406,0,0.110279101,0.002042206,0,0,0,0.251872022,0,0,0,0,0,0,0,0,0,0.007488087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037440436,0,0,0,0,0,0,0.028590878,0,0,0,0,0,0,0,0,0,0.003403676,0,0,0,0.020422056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020422056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081007488,0,0.240980259,0,0,0,0,0,0,0,0,0.024506467,0,0,0,0.053097345,0.118447924,0,0,0,0,0,0,0,0,0