SampleID,Abiotrophia,Achromobacter,Acidaminococcus,Acidovorax,Acinetobacter,Actinobacillus,Actinomyces,Actinoplanes,Adlercreutzia,Aerococcus,AF12,Afipia,Aggregatibacter,Agrobacterium,Agromyces,Alcanivorax,Alistipes,Alkanindiges,Allobaculum,Alloiococcus,Amaricoccus,Aminobacter,Anaerobacillus,Anaerococcus,Anaeroplasma,Anaerostipes,Anoxybacillus,Arcobacter,Arthrobacter,Asticcacaulis,Azospirillum,Bacillus,Bacteroides,Balneimonas,Bdellovibrio,Bifidobacterium,Bilophila,Blastomonas,Bradyrhizobium,Brevibacillus,Brevibacterium,Brevundimonas,Brochothrix,Burkholderia,Butyricicoccus,Caldilinea,Candidatus Arthromitus,Candidatus Nitrososphaera,Capnocytophaga,Carnobacterium,Caulobacter,Cellvibrio,Citricoccus,Cloacibacterium,Clostridium,Cohnella,Collinsella,Comamonas,Coprococcus,Corynebacterium,Cryocola,Cupriavidus,Cytophaga,DA101,Dechloromonas,Dehalobacterium,Dermabacter,Dermacoccus,Dialister,Dietzia,Dorea,Eggerthella,Elizabethkingia,Enhydrobacter,Enterobacter,Enterococcus,Erysipelothrix,Exiguobacterium,Faecalibacterium,Finegoldia,Flavisolibacter,Flavobacterium,Fusobacterium,Gardnerella,Gemella,Georgenia,Gluconobacter,Gordonia,Granulicatella,Haemophilus,Halomonas,Herbaspirillum,Hyphomicrobium,Janthinobacterium,Jeotgalicoccus,Kineococcus,Kocuria,Laceyella,Lachnoanaerobaculum,Lactobacillus,Lactococcus,Lampropedia,Leptotrichia,Leucobacter,Leuconostoc,Luteimonas,Marinomonas,Massilia,Megamonas,Megasphaera,Mesorhizobium,Methanobrevibacter,Microbacterium,Micrococcus,Microlunatus,Moraxella,Morganella,Mucispirillum,Mycobacterium,Mycoplana,N09,Neisseria,Nesterenkonia,Nocardioides,Nocardiopsis,Novosphingobium,Ochrobactrum,Odoribacter,Oryzihumus,Oscillospira,Paenibacillus,Parabacteroides,Paracoccus,Pasteurella,Pedobacter,Peptoniphilus,Perlucidibaca,Petrobacter,Phenylobacterium,Phyllobacterium,Planctomyces,Planifilum,Planomicrobium,Porphyromonas,Prevotella,Propionibacterium,Pseudochrobactrum,Pseudomonas,Pseudonocardia,Pseudoxanthomonas,Psychrobacter,Rheinheimera,Rhizobium,Rhodococcus,Rhodopila,Rhodoplanes,Roseburia,Roseomonas,Rothia,Rubellimicrobium,Rubrobacter,Ruminobacter,Ruminococcus,Saccharopolyspora,Salinicoccus,SargSea-WGS,Sediminibacterium,Serinicoccus,Shewanella,Sphingobacterium,Sphingobium,Sphingopyxis,Spirosoma,Sporosarcina,Staphylococcus,Stenotrophomonas,Steroidobacter,Streptococcus,Streptomyces,Sulfurospirillum,Sutterella,Thermicanus,Thermomonas,Turicibacter,Veillonella,Vibrio,WAL_1855D,Xanthobacter,Xanthomonas,Xylella,Yaniella
LK16S004-012,0,0,0,0,0.006849315,0,0,0,0.022289296,0,0.006617135,0,0,0,0,0,0.001160901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031924774,0,0,0,0.003250522,0,0,0.00058045,0,0,0,0,0.000928721,0,0,0,0,0,0,0,0,0,0.004063153,0,0,0,0.009751567,0,0,0,0,0,0,0.002553982,0,0,0,0,0.001044811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001160901,0.000696541,0,0,0.521941026,0.000812631,0,0.000812631,0,0,0,0,0,0,0,0,0,0,0.023334107,0,0,0,0.000812631,0,0,0,0,0,0,0,0,0,0.025191549,0,0.041560251,0,0.006501045,0,0,0,0,0,0,0,0,0,0,0,0,0.173786859,0.003018342,0,0.003250522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016484792,0,0,0,0,0,0,0,0,0,0,0,0.060831205,0.001044811,0,0.000696541,0.02658463,0,0,0,0,0,0.00046436,0,0,0,0,0,0
LK16S004-013,0,0,0,0,0.008425721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001108647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001330377,0,0,0,0,0,0,0,0,0.001552106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950776053,0.001552106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003104213,0,0,0.00864745,0.023503326,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-014,0,0,0,0,0.248571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045714286,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0.042857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008571429,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.02,0.38,0,0.022857143,0,0,0,0,0,0,0,0,0,0
LK16S004-015,0,0,0,0,0.00081616,0,0,0,0.00010202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99469496,0,0,0,0.00025505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030606,0,0,0,0,0,0,0,0,0,0,0,0.00107121,0,0,0,0.00178535,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-016,0,0,0,0,0.365269461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026946108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02994012,0,0,0,0,0,0,0,0,0.21257485,0,0,0.020958084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140718563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035928144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023952096,0,0,0,0.023952096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035928144,0,0,0.032934132,0.050898204,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-017,0,0,0,0.014981273,0.528089888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026217228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02247191,0,0,0,0,0,0,0,0.097378277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029962547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955,0.026217228,0.029962547,0,0.029962547,0,0,0,0,0,0,0,0,0,0,0.014981273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059925094,0,0,0.08988764,0.018726592,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-018,0,0,0,0,0.238042881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01264431,0,0,0,0.016492578,0,0,0,0,0,0,0,0,0,0,0,0,0.009895547,0,0,0,0,0,0,0,0,0,0,0.020890599,0,0,0,0,0.003848268,0,0,0.047278725,0,0,0,0.021440352,0.021990104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012094557,0,0,0,0,0,0,0,0,0,0,0,0.366684992,0,0,0,0,0,0,0.010995052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035184167,0,0.011544805,0,0,0,0,0,0,0,0,0,0,0,0,0.042330951,0.012094557,0,0.020340847,0,0.012094557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014293568,0,0,0,0.005497526,0,0,0,0,0.064321056,0,0,0,0,0,0,0
LK16S004-019,0,0,0,0,0.127024526,0,0,0,0,0,0,0,0,0.004627487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006015733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000694123,0,0,0,0,0,0,0.003007867,0.000925497,0,0,0,0,0,0,0,0,0,0,0,0.003007867,0,0,0,0,0,0,0,0.002082369,0,0,0,0.001850995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009486349,0,0,0,0,0,0,0,0.002082369,0,0,0,0,0,0.013419713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001850995,0,0.007172605,0,0.002545118,0,0,0,0,0,0,0.001156872,0,0,0,0,0.004396113,0.018509949,0.00532161,0,0.03447478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003007867,0.002313744,0,0,0,0,0,0,0,0,0,0,0.016196205,0.00370199,0,0.002082369,0.717029153,0,0,0,0,0,0.006015733,0,0,0,0,0,0
LK16S004-020,0,0,0,0,0.000485861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000583034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.893304829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104994656,0.00063162,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-021,0,0,0,0,0.112359551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016853933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106741573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056179775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028089888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06741573,0.612359551,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-022,0,0,0,0,0.22235023,0,0.003456221,0,0,0,0,0,0,0,0,0,0,0,0,0.021889401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014976959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004608295,0.101382488,0.017281106,0,0,0,0,0,0,0,0,0,0,0,0,0.025345622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004608295,0,0,0,0,0,0.031105991,0,0,0,0,0,0,0,0.016129032,0.048387097,0,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0.055299539,0,0,0.057603687,0.314516129,0,0,0,0,0,0.008064516,0,0.00921659,0,0,0,0
LK16S004-023,0,0,0,0,0.087719298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122807018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070175439,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087719298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140350877,0.456140351,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-030,0,0,0,0,0.388007055,0,0.019400353,0,0,0.044091711,0,0,0,0,0,0,0,0,0,0,0,0.035273369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021164021,0,0,0,0,0,0,0,0.042328042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015873016,0.008818342,0,0,0,0,0,0,0,0,0.098765432,0.008818342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029982363,0,0.086419753,0,0,0,0.014109347,0,0,0,0,0,0,0,0,0.028218695,0,0,0,0,0,0,0,0,0.010582011,0,0,0,0,0.014109347,0.044091711,0,0,0.015873016,0,0,0,0,0,0,0,0,0,0,0.074074074,0
LK16S004-031,0,0,0,0,0.295918367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017006803,0,0,0,0,0,0,0,0,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108843537,0,0,0,0,0,0,0,0.414965986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020408163,0,0,0.017006803,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0.044217687,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-032,0,0,0,0,0.333846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036923077,0.047692308,0,0,0,0,0,0,0,0.016923077,0,0,0,0.021538462,0,0,0,0,0,0,0,0,0,0,0,0.158461538,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0.007692308,0,0,0.010769231,0,0,0,0,0,0,0,0,0,0,0,0.024615385,0,0,0,0,0,0,0,0,0.009230769,0,0,0,0,0,0,0,0,0,0.026153846,0,0,0,0,0,0,0,0,0.024615385,0,0,0,0.013846154,0.029230769,0,0,0,0.004615385,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-052,0,0,0,0,0.645101664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012939002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011090573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036968577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051756007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011090573,0,0,0,0.125693161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066543438,0,0,0,0,0.038817006,0,0,0,0,0,0,0,0,0,0,0,0
LK16S004-053,0,0,0,0,0.061016949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006779661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013559322,0,0,0,0,0,0,0,0,0,0,0,0,0.108474576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101694915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66779661,0,0,0,0.030508475,0,0,0,0,0,0.010169492,0,0,0,0,0,0
LK16S004-054,0,0,0,0,0.485835694,0,0,0,0.008498584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016997167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082152975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011331445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042492918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043909348,0,0,0,0.077903683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041076487,0,0,0,0,0,0,0,0,0,0,0,0.032577904,0.157223796,0,0,0,0,0,0,0,0,0,0,0,0
